NIVEL,LABOR,AVANCE,FECHA
8A1,RP+ 602 NE,3.72,23/02/2022 N
12A,BP 595 NE,2.1,22/02/2022 D
12A,BP 595 NE,3.0,24/02/2022 D
12A,BP 595 NE,3.0,25/02/2022 D
12A,BP 595 NE,3.0,26/02/2022 D
12A,BP 595 NE,3.39,27/02/2022 N
12A,BP 595 NE,3.34,28/02/2022 N
12A,BP 595 NE,3.35,02/03/2022 N
12A,GL 574 NE,3.0,22/02/2022 N
12A,GL 574 NE,3.0,24/02/2022 D
12A,GL 574 NE,3.0,24/02/2022 N
12A,GL 574 NE,3.0,27/02/2022 N
12A,GL 574 SW,3.0,28/02/2022 N
12,GL 598 NE,3.2,23/02/2022 D
12,GL 598 NE,3.2,25/02/2022 D
12,GL 598 NE,3.4,26/02/2022 N
12,GL 598 NE,3.38,01/03/2022 N
12,GL 628 NE,3.2,24/02/2022 N
12,GL 628 NE,2.2,26/02/2022 D
12,GL 628 NE,2.9,27/02/2022 D
12,GL 628 NE,3.12,01/03/2022 D
12,GL 628 SW,3.5,24/02/2022 N
12,GL 628 SW,3.6,27/02/2022 D
16,BP 409 SW,2.0,28/02/2022 D
16,BP 409 SW,3.0,01/03/2022 D
16,BP 409 SW,3.0,02/03/2022 N
16,BP 412 SE,3.0,20/02/2022 N
16,BP 412 SE,3.47,21/02/2022 D
16,BP 412 SE,3.1,21/02/2022 N
16,BP 412 SE,3.1,22/02/2022 N
16,BP 412 SE,3.11,23/02/2022 N
16,BP 412 SE,2.5,24/02/2022 D
16,BP 412 SE,3.0,25/02/2022 D
17,XC 545 NE,3.5,25/02/2022 D
17,XC 545 NE,3.4,26/02/2022 N
17,XC 545 NE,3.5,27/02/2022 N
17,XC 545 NE,3.5,28/02/2022 N
18,BP 330 NE,3.34,21/02/2022 N
18,BP 330 NE,3.3,22/02/2022 D
18,BP 330 NE,3.34,22/02/2022 N
18,BP 330 NE,3.3,23/02/2022 N
18,BP 330 NE,3.3,24/02/2022 N
18,BP 330 NE,3.4,25/02/2022 N
18,BP 330 NE,2.5,26/02/2022 D
18,BP 330 NE,3.0,26/02/2022 N
18,BP 330 NE,3.5,27/02/2022 N
18,BP 330 NE,3.5,28/02/2022 N
18,BP 330 NE,2.22,01/03/2022 N
18,BP 330 NE,0.92,02/03/2022 D
18,BP 330 NE,3.58,02/03/2022 N
18,RP (-13%) 410 NE,3.2,22/02/2022 D
18,RP (-13%) 410 NE,3.5,24/02/2022 D
18,RP (-13%) 410 NE,3.3,24/02/2022 N
18,RP (-13%) 410 NE,3.5,01/03/2022 N
18,XC 424 NW,3.29,20/02/2022 N
18,XC 424 NW,2.92,21/02/2022 D
19A,EST 384  NW,3.08,21/02/2022 D
19A,EST 384  NW,3.4,22/02/2022 N
19A,EST 384  NW,3.2,24/02/2022 D
19A,EST 384  NW,3.2,24/02/2022 N
19A,EST 384  NW,3.0,25/02/2022 N
19A,EST 408 SE,2.43,21/02/2022 D
19A,EST 408 SE,3.0,23/02/2022 D
19A,EST 408 SE,3.22,26/02/2022 D
19A,GL 370 SW,2.4,28/02/2022 D
19A,XC 305 NE,2.15,27/02/2022 D
19A,XC 305 NE,3.3,28/02/2022 D
19A,XC 305 NE,3.44,01/03/2022 D
19,EST 259 SE,2.19,21/02/2022 D
19,EST 259 SE,3.53,21/02/2022 N
19,EST 259 SE,3.54,22/02/2022 N
19,EST 259 SE,2.55,24/02/2022 N
19,EST 259 SE,0.0,26/02/2022 N
19,EST 259 SE,2.7,27/02/2022 D
19,EST 259 SE,2.91,28/02/2022 D
19,EST 259 SE,2.91,01/03/2022 D
19,GL 270 NE,3.2,22/02/2022 N
19,GL 290 NE,3.5,22/02/2022 D
19,GL 290 NE,3.5,23/02/2022 N
19,GL 290 NE,3.5,26/02/2022 D
19,GL 290 NE,3.5,27/02/2022 D
19,GL 290 SW,3.2,22/02/2022 D
19,GL 300 NE,3.4,22/02/2022 D
19,GL 300 NE,3.2,24/02/2022 D
19,GL 300 NE,3.0,26/02/2022 D
19,GL 300 NE,3.5,27/02/2022 N
19,GL 320 NE,3.06,20/02/2022 N
19,GL 320 NE,3.5,21/02/2022 N
19,GL 320 NE,3.5,22/02/2022 N
19,GL 320 NE,3.5,23/02/2022 D
19,GL 320 NE,3.3,24/02/2022 D
19,GL 320 NE,3.3,24/02/2022 N
19,GL 320 NE,3.5,25/02/2022 D
19,GL 320 NE,3.4,26/02/2022 N
19,GL 320 NE,3.56,01/03/2022 D
19,XC 338 SE,3.29,20/02/2022 D
19,XC 338 SE,3.33,20/02/2022 N
19,XC 338 SE,3.35,21/02/2022 D
19,XC 338 SE,3.35,21/02/2022 N
20B,XC 129 SE,1.43,26/02/2022 D
20B,GL 190 SW,2.0,20/02/2022 N
20B,GL 190 SW,3.2,22/02/2022 D
20B,GL 190 SW,3.3,22/02/2022 N
20B,XC 129 NW,3.5,23/02/2022 D
20B,XC 129 NW,2.63,24/02/2022 N
20B,XC 129 NW,3.0,25/02/2022 N
20B,XC 129 NW,1.43,26/02/2022 D
20B,XC 129 NW,3.25,27/02/2022 D
20B,XC 129 NW,3.2,27/02/2022 N
20B,CAM 129 SE,1.43,21/02/2022 N
20B,CAM 129 SE,3.5,23/02/2022 D
20B,CAM 129 SE,3.5,23/02/2022 N
20B,CAM 129 SE,3.3,24/02/2022 D
20B,CAM 129 SE,3.0,25/02/2022 N
20A,RP(-) 15% 120 SW,3.0,20/02/2022 D
20A,RP(-) 15% 120 SW,2.98,20/02/2022 N
20A,RP(-) 15% 120 SW,2.86,22/02/2022 D
20A,RP(-) 15% 120 SW,3.0,23/02/2022 N
20A,RP(-) 15% 120 SW,2.7,25/02/2022 D
20A,RP(-) 15% 120 SW,1.78,26/02/2022 N
20A,RP(-) 15% 120 SW,2.3,27/02/2022 N
20A,XC 120 SW,1.78,26/02/2022 N
20A,GL 159 SW,3.5,26/02/2022 D
20A,CAM 089 SW,1.8,27/02/2022 D
21,RP (-13%) 400 NW,3.3,23/02/2022 N
21,RP (-13%) 400 NW,3.3,24/02/2022 N
21,RP (-13%) 400 NW,3.4,25/02/2022 N
